         29707138 function calls (28672622 primitive calls) in 510.322 seconds

   Ordered by: cumulative time
   List reduced from 1428 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
16141/11424    8.912    0.001   19.834    0.002 {method 'cumsum' of 'numpy.ndarray' objects}
8071/1791    8.803    0.001  188.618    0.105 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/sklearn/metrics/_ranking.py:844(confusion_matrix_at_thresholds)
64806/32673    8.563    0.000   11.320    0.000 {built-in method numpy._core._multiarray_umath._unique_hash}
8070/1734    7.666    0.001  180.143    0.104 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/sklearn/metrics/_ranking.py:1147(roc_curve)
8070/6057    6.996    0.001  310.992    0.051 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/scipy/integrate/_quadrature.py:21(trapezoid)
8071/5139    6.413    0.001   20.604    0.004 {method 'nonzero' of 'numpy.ndarray' objects}
40423/1173    3.653    0.000  650.728    0.555 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/sklearn/utils/_param_validation.py:187(wrapper)
 8066/499    3.494    0.000    0.735    0.001 {method 'get' of '_queue.SimpleQueue' objects}
  1600/26    3.414    0.002    2.584    0.099 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/lightgbm/basic.py:4092(update)
137492/29029    3.318    0.000 1198.408    0.041 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/sklearn/externals/array_api_compat/_internal.py:32(wrapped_f)
8071/2504    2.989    0.000  155.249    0.062 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/sklearn/externals/array_api_compat/common/_aliases.py:467(argsort)
64806/10870    2.301    0.000  180.686    0.017 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/lib/_arraysetops_impl.py:145(unique)
8071/1701    2.299    0.000  556.747    0.327 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/sklearn/metrics/_base.py:17(_average_binary_score)
32299/7583    2.235    0.000  987.324    0.130 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/sklearn/utils/multiclass.py:240(type_of_target)
8070/1714    2.119    0.000  357.510    0.209 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/sklearn/metrics/_ranking.py:439(_binary_roc_auc_score)
72670/43999    2.098    0.000  427.669    0.010 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/sklearn/externals/array_api_compat/numpy/_aliases.py:116(astype)
332778/289746    1.965    0.000    7.864    0.000 {built-in method numpy.array}
16162/13525    1.786    0.000    8.522    0.001 {built-in method numpy.zeros}
    500/1    1.525    0.003    1.083    1.083 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:808(_one_replicate)
 4000/243    1.400    0.000  476.226    1.960 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:753(_one_replicate)
8089/5106    1.365    0.000    2.412    0.000 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/lib/_arraysetops_impl.py:806(_isin)


