         2451668 function calls (2382567 primitive calls) in 114.984 seconds

   Ordered by: cumulative time
   List reduced from 1433 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
24851/22798    0.373    0.000    5.463    0.000 {method 'astype' of 'numpy.ndarray' objects}
      714    0.368    0.001    0.386    0.001 {built-in method numpy._core._multiarray_umath._unique_hash}
 8066/499    0.324    0.000    2.384    0.005 {method 'get' of '_queue.SimpleQueue' objects}
        1    0.313    0.313  114.913  114.913 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1577(harness)
4113/4089    0.307    0.000    0.381    0.000 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/_core/_methods.py:96(_clip)
  1191526    0.218    0.000    0.218    0.000 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1334(_bin_prior)
13544/748    0.197    0.000   41.612    0.056 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:48(_wrapfunc)
4113/4089    0.100    0.000    2.216    0.001 {method 'clip' of 'numpy.ndarray' objects}
15324/15207    0.095    0.000    0.122    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.094    0.094    0.212    0.212 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1193(_per_tenure_residualized_auc)
   4008/2    0.081    0.000   88.431   44.215 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:603(__call__)
     3957    0.072    0.000    0.084    0.000 {built-in method numpy.array}
        1    0.071    0.071  114.984  114.984 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/runs/run_01.py:175(_run_harness_inner)
        9    0.049    0.005    0.049    0.005 {method 'min' of 'builtins.PySeries' objects}
   4008/2    0.048    0.000   88.431   44.215 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/_utils.py:107(__call__)
    73/55    0.046    0.001    0.045    0.001 {method 'to_numpy' of 'builtins.PySeries' objects}
 8112/162    0.045    0.000  112.807    0.696 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1421(searchsorted)
  714/687    0.045    0.000    1.355    0.002 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/lib/_arraysetops_impl.py:350(_unique1d)
 4000/500    0.044    0.000    8.803    0.018 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1776(_retrieve)
       96    0.038    0.000    0.069    0.001 {built-in method numpy._core._multiarray_umath.interp}
       64    0.037    0.001    0.149    0.002 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/sklearn/isotonic.py:312(_build_y)


